Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
45	6898.44	87.422	7015.99	6768.06	7306.59	101.846	7430.08	7138.2	1000.0	1000.0	229999	455.18	132.434	576.079	-37.2353	455.18	132.435	574.096	-40.8844	455.249	131.773	573.494	-40.5679	4.00588	3.81814	39.1257	-12.4421	-456.199	9.0047	8.86937	8.76621	8182.143094539642
46	6823.98	88.0303	6933.69	6699.0	7421.24	44.5653	7504.81	7379.33	1000.0	1000.0	234999	460.045	132.281	579.991	-40.8471	460.045	132.281	577.21	-42.6828	460.097	131.613	578.44	-45.0073	4.00508	3.81361	39.316	-14.2068	-461.054	8.66326	8.47298	8.55246	8357.63731455803
47	6240.31	1369.84	6997.35	3502.84	7098.45	191.545	7392.47	6863.62	1000.0	1000.0	239999	463.679	133.571	584.109	-128.832	463.679	133.571	580.49	-162.611	463.725	132.902	580.812	-85.934	4.05589	3.834	39.2028	-16.1491	-464.677	9.00111	8.90166	8.99202	8532.980472803116
48	6916.68	132.126	7047.08	6707.49	7584.45	64.0161	7664.4	7510.8	1000.0	1000.0	244999	467.815	133.836	594.051	-85.5072	467.815	133.836	594.678	-117.629	467.846	133.167	593.629	-81.9262	4.08924	3.8363	40.4548	-15.2931	-468.795	9.07543	8.96029	8.93148	8708.299712181091
49	7070.74	143.274	7252.82	6846.67	7577.78	116.501	7692.43	7355.38	1000.0	1000.0	249999	472.185	133.719	598.149	-90.7882	472.185	133.719	597.885	-110.181	472.216	133.051	599.359	-85.6045	4.13452	3.83372	43.1152	-13.2076	-473.155	8.78512	8.68576	8.57514	8883.211867570877
50	7123.44	114.083	7250.77	6911.27	7327.6	107.291	7478.31	7161.26	1000.0	1000.0	254999	476.455	133.9	602.014	-106.725	476.455	133.901	601.362	-96.0652	476.474	133.218	602.742	-82.1167	4.17668	3.83901	42.984	-14.7711	-477.416	8.93519	8.81093	8.91632	9058.458773136139
51	7051.03	90.2206	7184.73	6908.14	7769.02	89.3884	7924.95	7680.4	1000.0	1000.0	259999	480.825	133.737	605.789	-94.2184	480.826	133.737	604.729	-95.0295	480.851	133.052	604.396	-73.5292	4.2215	3.8489	39.8779	-14.254	-481.778	8.65584	8.54085	8.59008	9233.526606559753
52	7198.32	99.4471	7328.28	7102.56	7220.78	103.393	7351.81	7093.87	1000.0	1000.0	264999	484.954	134.074	609.898	-124.045	484.954	134.074	609.134	-95.7748	484.968	133.388	609.75	-81.1809	4.25159	3.83821	39.851	-15.9184	-485.897	8.7698	8.61449	8.56823	9408.812226057053
53	7175.14	171.35	7384.43	6881.09	7815.65	78.3666	7947.08	7715.05	1000.0	1000.0	269999	489.183	133.764	612.953	-82.9808	489.184	133.764	611.962	-98.2654	489.193	133.065	611.411	-79.9667	4.31898	3.86197	39.8886	-13.9064	-490.124	8.93458	8.79981	8.73476	9584.086814403534
54	7236.05	43.5536	7305.15	7168.18	7855.95	110.977	8012.32	7667.98	1000.0	1000.0	274999	492.957	134.072	615.987	-89.5332	492.957	134.072	617.043	-100.006	492.947	133.381	615.98	-88.5234	4.31958	3.85219	39.8614	-13.3152	-493.877	8.73492	8.50051	8.48566	9759.591225624084
55	7285.36	147.653	7442.13	7023.34	7811.7	99.6881	7990.2	7687.97	1000.0	1000.0	279999	496.928	133.715	633.934	-63.1215	496.929	133.715	629.545	-83.0747	496.903	133.017	625.746	-81.402	4.36451	3.85728	43.2555	-14.4007	-497.834	8.84689	8.70318	8.60877	9934.41554427147
56	7186.36	210.433	7459.64	6816.23	7601.12	58.4798	7685.48	7529.03	1000.0	1000.0	284999	500.534	133.557	632.579	-71.3087	500.534	133.557	630.987	-85.3567	500.506	132.852	629.544	-67.442	4.3612	3.83698	38.4585	-17.3023	-501.431	8.72739	8.53725	8.37754	10109.477964162827
57	7263.53	138.541	7403.05	7002.47	7691.33	90.198	7780.21	7533.71	1000.0	1000.0	289999	503.915	133.469	634.156	-55.1166	503.916	133.469	631.183	-99.0276	503.878	132.766	631.974	-70.0754	4.39893	3.83591	42.1028	-14.2698	-504.798	8.4733	8.32825	8.07811	10284.5821454525
58	7314.09	65.416	7377.88	7197.81	7835.11	121.03	8019.75	7669.92	1000.0	1000.0	294999	507.405	133.273	634.965	-78.0252	507.405	133.273	633.93	-103.526	507.357	132.568	635.204	-70.2588	4.40989	3.8282	37.2692	-14.3014	-508.27	8.46338	8.3408	8.31235	10460.453814029694
59	7387.72	225.854	7690.26	7049.43	7837.48	92.747	8009.58	7750.16	1000.0	1000.0	299999	511.099	133.122	638.557	-89.7035	511.098	133.122	637.274	-91.4408	511.05	132.41	639.256	-80.7817	4.45611	3.82864	40.8335	-14.6096	-511.958	8.42981	8.26537	8.1074	10635.793504714966
60	7427.56	100.829	7606.04	7296.78	7913.12	121.847	8089.4	7766.3	1000.0	1000.0	304999	514.408	133.132	642.211	-72.9527	514.409	133.131	638.93	-79.0284	514.343	132.413	641.465	-76.7377	4.48204	3.8385	41.5326	-12.3053	-515.252	8.55516	8.41493	8.20975	10811.654771089554
61	7450.67	143.206	7534.75	7164.95	8086.56	113.765	8275.84	7947.66	1000.0	1000.0	309999	517.455	133.071	644.016	-80.3126	517.455	133.071	642.416	-91.0558	517.383	132.364	643.163	-81.2079	4.50982	3.83583	41.4123	-15.0806	-518.291	8.63131	8.50464	8.39615	10986.656553268433
62	7492.97	164.909	7668.53	7253.9	8109.35	139.848	8305.72	7913.48	1000.0	1000.0	314999	520.953	132.838	649.142	-106.561	520.954	132.838	648.302	-97.9492	520.886	132.122	645.608	-84.2814	4.53442	3.84718	43.4397	-13.0588	-521.788	8.59853	8.42899	8.23053	11161.829823970795
63	7393.86	280.914	7592.4	6844.48	8029.98	141.669	8296.84	7877.59	1000.0	1000.0	319999	524.415	132.964	653.655	-77.8412	524.415	132.964	653.647	-83.3416	524.339	132.244	651.599	-89.4078	4.58631	3.84921	40.9848	-15.8422	-525.244	8.83608	8.69561	8.44988	11337.069039344788
64	7641.54	100.556	7819.68	7558.07	7977.17	109.769	8133.88	7862.18	1000.0	1000.0	324999	527.547	132.853	653.959	-78.3957	527.547	132.854	655.424	-103.553	527.463	132.127	655.484	-75.3698	4.57532	3.84559	35.1323	-12.2528	-528.37	8.71902	8.53771	8.21134	11512.421736001968
65	7436.06	213.418	7780.08	7143.75	8002.13	80.5858	8155.28	7922.29	1000.0	1000.0	329999	530.423	132.586	657.001	-107.563	530.423	132.586	658.044	-82.4801	530.323	131.864	656.915	-79.9691	4.58251	3.83049	42.4002	-13.9715	-531.23	8.71363	8.54905	8.27553	11687.673110246658
66	7509.57	222.564	7831.69	7281.02	8110.24	116.647	8249.64	7898.29	1000.0	1000.0	334999	533.276	132.805	661.931	-75.0226	533.277	132.805	662.123	-79.5077	533.161	132.091	658.262	-78.3354	4.60785	3.83156	35.6165	-14.2587	-534.076	8.90768	8.78287	8.46113	11862.912671089172
67	7611.28	192.149	7812.19	7370.49	8188.15	95.5581	8311.89	8072.66	1000.0	1000.0	339999	536.241	132.531	663.014	-99.256	536.241	132.532	663.371	-90.2901	536.132	131.804	660.571	-77.7449	4.6923	3.82821	38.5739	-17.6125	-537.043	9.04037	8.84619	8.36388	12038.906377077103
68	7860.26	70.6329	7927.9	7729.88	7907.25	103.444	8048.27	7760.56	1000.0	1000.0	344999	539.349	132.161	665.481	-78.0318	539.349	132.162	667.156	-82.992	539.234	131.432	663.865	-75.3769	4.67075	3.81992	37.2502	-13.3482	-540.154	9.11472	8.90908	8.45033	12214.295766592026
69	7739.61	160.974	7973.09	7485.21	8252.51	124.2	8494.23	8163.83	1000.0	1000.0	349999	542.384	131.909	669.581	-79.1514	542.385	131.909	670.361	-87.8618	542.253	131.175	668.529	-84.3268	4.68946	3.83977	38.9722	-13.758	-543.172	9.1952	9.0077	8.60296	12390.099088191986
70	7874.91	146.97	8120.12	7708.36	8330.58	93.2869	8493.99	8220.44	1000.0	1000.0	354999	544.937	132.041	674.683	-83.3345	544.937	132.042	675.26	-99.6076	544.811	131.304	672.156	-93.6295	4.73818	3.84745	41.0491	-14.5493	-545.728	9.367	9.15517	8.79049	12566.435156106949
71	7821.59	73.2254	7904.56	7728.48	8424.24	145.175	8589.66	8234.18	1000.0	1000.0	359999	547.879	132.205	677.431	-92.8144	547.879	132.206	677.198	-88.4101	547.745	131.476	677.967	-85.2836	4.73725	3.82865	43.7185	-13.8031	-548.669	9.34628	9.16563	8.77578	12742.178794622421
72	7910.77	76.2653	8021.15	7793.44	8512.6	141.396	8733.95	8324.74	1000.0	1000.0	364999	551.067	132.253	682.736	-117.414	551.067	132.254	682.237	-103.502	550.936	131.511	681.667	-78.8988	4.75579	3.83981	37.6719	-13.8691	-551.858	9.4361	9.20979	8.77296	12917.445433855057
73	8032.51	63.8066	8143.54	7958.65	8387.97	123.089	8544.43	8217.1	1000.0	1000.0	369999	554.174	132.042	685.482	-94.5383	554.174	132.043	684.369	-85.9545	554.035	131.303	683.577	-89.5473	4.77253	3.85143	41.0262	-14.837	-554.961	9.37259	9.13936	8.66176	13092.613792181015
74	8146.62	75.7702	8238.52	8043.68	8511.69	174.222	8767.32	8332.6	1000.0	1000.0	374999	557.121	132.372	690.402	-94.2571	557.122	132.373	689.398	-112.926	556.983	131.634	687.75	-95.7757	4.79381	3.85081	41.2249	-18.2977	-557.916	9.65001	9.45846	8.94522	13268.722878456116
75	7992.54	142.381	8167.06	7767.18	8283.76	60.7062	8345.41	8176.45	1000.0	1000.0	379999	560.56	132.468	693.864	-100.29	560.56	132.469	695.039	-97.4186	560.43	131.723	692.681	-92.4418	4.80523	3.86399	42.9859	-14.1779	-561.354	9.54628	9.31492	8.67307	13443.833299398422
76	8024.57	78.1062	8142.73	7912.13	8304.7	78.8626	8418.47	8222.8	1000.0	1000.0	384999	564.129	132.33	701.324	-106.377	564.129	132.33	699.82	-98.2068	563.991	131.584	697.718	-87.7422	4.85774	3.86457	40.8612	-13.465	-564.915	9.48544	9.27803	8.79558	13619.403556585312
77	8043.44	198.424	8418.09	7839.39	8814.05	84.7188	8915.14	8676.05	1000.0	1000.0	389999	567.207	132.948	702.41	-108.649	567.207	132.949	702.604	-88.5256	567.068	132.209	702.465	-80.7682	4.854	3.84734	41.4445	-13.4206	-567.992	9.72442	9.35038	8.65509	13794.549994468689
78	8107.39	200.643	8466.81	7895.99	8492.81	102.909	8635.7	8383.56	1000.0	1000.0	394999	570.551	132.752	705.607	-78.3565	570.551	132.753	704.495	-104.251	570.422	132.007	704.696	-79.9103	4.90239	3.8755	40.1558	-15.1415	-571.356	9.9582	9.70976	9.02275	13970.51661992073
79	8203.79	87.3077	8324.37	8074.3	8183.54	139.425	8417.78	8035.78	1000.0	1000.0	399999	573.74	133.397	709.597	-109.758	573.739	133.398	707.549	-100.563	573.605	132.654	707.212	-103.674	4.92705	3.89553	46.0206	-14.9276	-574.539	9.94161	9.6725	9.07378	14146.004448413849
80	7932.73	294.052	8169.51	7425.73	8738.77	42.0734	8821.46	8707.7	1000.0	1000.0	404999	577.013	133.268	714.037	-88.3188	577.013	133.268	716.098	-96.8153	576.879	132.514	710.919	-92.2043	4.93865	3.87898	43.538	-13.7316	-577.819	10.1581	9.87433	9.18553	14321.22212266922
81	8208.74	140.535	8402.61	8037.24	8714.08	135.789	8812.81	8445.7	1000.0	1000.0	409999	580.236	133.176	719.652	-103.326	580.236	133.177	719.424	-100.701	580.099	132.43	718.545	-99.2993	4.9689	3.90193	41.5193	-13.1358	-581.037	10.2836	9.94216	9.20839	14496.944157600403
