Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
37	881.696	71.9622	968.0	800.154	755.641	280.768	1003.45	299.591	1000.0	837.6	189999	65.9709	13.6828	109.953	-39.8703	65.9708	13.684	110.41	-42.7081	0.0109517	0.000114852	0.0112031	0.010649	-0.00627011	7.99859	2.51742	38.5903	-8.54829	-66.2048	2.29542	2.29076	5412.852044582367
38	957.38	199.757	1343.9	804.39	1009.87	519.987	1717.19	234.099	1000.0	831.8	194999	66.8685	14.2213	113.348	-73.065	66.8683	14.2216	112.637	-81.3083	0.011016	9.11942e-05	0.0112232	0.0108042	0.0100416	8.00221	2.54488	38.294	-10.5013	-67.1081	2.29293	2.32557	5555.1493237018585
39	866.814	419.093	1487.72	134.571	611.826	420.913	1212.38	216.053	769.286	526.2	199999	68.0133	14.8916	116.393	-43.5119	68.0131	14.8914	116.212	-41.5612	0.0109875	0.000129332	0.0113793	0.0107008	0.00286152	8.00061	2.58883	39.2419	-8.7284	-68.2535	2.31554	2.34263	5706.275915384293
40	716.865	320.236	1100.66	103.359	870.443	299.703	1149.74	318.596	695.571	842.0	204999	69.2192	15.6659	117.173	-34.5097	69.2189	15.6654	116.84	-33.3643	0.0110781	0.000107978	0.0113122	0.010844	0.00316822	8.00069	2.59938	42.2494	-9.14955	-69.4581	2.43512	2.49073	5845.196656942368
41	977.281	194.246	1325.85	751.551	865.408	165.396	984.219	543.537	1000.0	871.4	209999	70.2369	16.2433	121.199	-41.328	70.2369	16.2453	121.009	-66.5137	0.0110837	0.000132665	0.0113522	0.0107519	-0.00228567	7.99948	2.61268	43.2574	-9.46551	-70.4745	2.46283	2.47098	5987.6170864105225
42	829.721	376.161	1254.72	304.605	720.589	288.3	870.355	144.158	741.167	708.8	214999	71.2423	17.0544	123.417	-38.225	71.242	17.0549	124.496	-34.8666	0.0111292	0.000167414	0.0115408	0.010697	0.00222527	8.00048	2.64298	44.7667	-9.34833	-71.4852	2.55156	2.55126	6114.327250957489
43	622.685	442.557	1547.22	69.042	884.824	343.503	1385.14	331.142	574.2	840.6	219999	72.4431	18.0895	125.66	-55.5997	72.4428	18.0896	126.25	-48.4145	0.0111074	0.000167798	0.0113558	0.0106641	-0.00658838	7.99852	2.66378	46.31	-12.0983	-72.6861	2.75681	2.77663	6276.413385629654
44	938.044	181.881	1281.66	786.982	1039.88	620.572	1803.8	266.678	1000.0	681.8	224999	73.3994	18.8851	128.421	-49.2693	73.3991	18.8843	127.261	-56.1927	0.0110211	9.61941e-05	0.0112401	0.0108257	-0.000465254	7.99988	2.71074	44.8814	-9.36621	-73.6419	2.8246	2.8732	6417.662358999252
45	711.8	410.069	1309.69	139.315	572.052	430.596	1145.57	56.9593	482.778	380.0	229999	74.4174	19.6917	130.05	-44.857	74.4172	19.6933	131.188	-34.3582	0.011051	0.000151385	0.0112792	0.0106446	0.00947455	8.00208	2.72339	45.2927	-8.40771	-74.6468	3.0373	3.04631	6539.771769523621
46	739.745	385.437	1441.07	160.847	923.645	432.925	1716.13	492.819	718.0	722.8	234999	75.2897	20.5571	131.556	-47.4187	75.2894	20.5591	132.524	-48.6894	0.0110229	0.000120258	0.0113632	0.0108058	-0.00116432	7.99973	2.74669	48.0196	-14.4429	-75.5228	3.15576	3.13505	6700.885627985001
47	1127.79	486.559	1692.33	251.888	1174.49	396.793	1712.84	833.01	755.833	1000.0	239999	76.3239	21.5528	135.181	-52.8682	76.3235	21.5556	135.108	-34.2995	0.0110695	0.000134709	0.011319	0.0107188	0.00287042	8.00062	2.76367	50.055	-9.00623	-76.5548	3.19415	3.16099	6830.934633255005
48	934.565	628.645	2092.41	47.9497	789.1	270.081	1151.15	340.804	749.714	716.8	244999	77.171	22.318	137.171	-40.7404	77.1708	22.3185	137.929	-43.0261	0.0110061	0.000132817	0.011295	0.0107052	-0.00567702	7.99872	2.79902	45.3442	-10.9623	-77.4037	3.32307	3.33503	6978.736417293549
49	1054.31	660.005	1833.69	115.86	1022.91	142.424	1163.13	822.522	746.0	914.4	249999	78.4022	23.3241	138.478	-53.0072	78.402	23.3242	139.986	-51.7028	0.0110717	8.6278e-05	0.011269	0.010856	0.005581	8.00122	2.80421	43.223	-11.353	-78.6373	3.3252	3.3686	7126.790488958359
50	936.634	512.586	1806.45	307.114	881.241	501.581	1614.06	42.6508	831.8	805.0	254999	79.4539	24.3268	141.043	-64.6111	79.4538	24.328	142.609	-57.5832	0.0110668	0.000108979	0.0112982	0.0107966	-0.00681069	7.99847	2.85223	52.1986	-10.4481	-79.6929	3.46539	3.47785	7245.8915247917175
51	757.985	511.382	1772.3	61.6713	1590.1	503.129	2071.42	811.96	537.9	909.6	259999	80.6485	25.5478	144.012	-58.8415	80.6482	25.5478	145.379	-60.5622	0.0110949	0.000105815	0.0112839	0.0107715	0.00422033	8.00092	2.90009	47.5117	-9.35259	-80.8924	3.66108	3.69753	7397.603343963623
52	721.847	632.841	1940.08	22.4487	370.43	242.209	807.23	134.953	426.923	308.2	264999	82.1455	26.8501	147.127	-50.7052	82.1453	26.8516	147.042	-55.986	0.0112749	0.000130142	0.0115809	0.010979	-0.00448587	7.99899	2.91526	48.0307	-10.1496	-82.3869	4.00617	4.03486	7551.477875709534
53	1060.66	605.131	1916.07	267.671	1265.41	471.222	2089.76	752.895	746.833	930.4	269999	83.3833	27.8853	149.076	-54.7735	83.383	27.8862	147.19	-62.4202	0.0111932	0.000117342	0.0114248	0.0109185	0.000983902	8.0002	2.96155	49.9315	-11.637	-83.6283	4.35627	4.40359	7679.615092277527
54	891.887	363.891	1497.45	280.081	1175.73	413.25	1811.48	711.479	689.5	830.2	274999	84.626	28.9774	150.755	-129.292	84.6259	28.9781	153.121	-85.3531	0.011396	0.000163659	0.0117649	0.011004	0.0172015	8.00381	2.98219	49.5786	-12.3249	-84.8738	4.38925	4.37524	7834.814301252365
55	1163.18	193.172	1372.85	847.726	1636.41	780.955	2274.97	146.805	922.8	765.2	279999	85.6335	30.1364	155.129	-75.2396	85.6331	30.1363	156.173	-54.4307	0.0114225	0.00010567	0.0116809	0.0111193	0.0146225	8.00326	2.97372	47.7921	-11.091	-85.8883	4.42211	4.50959	7965.451675891876
56	1181.33	853.741	2353.34	43.1583	982.279	121.656	1121.59	789.954	663.375	870.8	284999	87.1202	31.5854	158.049	-59.8013	87.1199	31.5854	159.361	-66.4311	0.0116012	0.000115077	0.0119196	0.0113096	-0.00706518	7.99839	3.02593	46.2662	-9.91122	-87.3871	4.5509	4.6335	8115.327171564102
57	1596.11	436.345	2334.09	1165.79	834.263	693.859	2155.56	296.99	1000.0	498.4	289999	88.7586	33.1832	161.614	-57.6019	88.7584	33.1839	163.263	-52.1827	0.0116088	0.000122674	0.0119233	0.0113228	0.017047	8.00381	3.0877	47.6664	-12.6457	-89.0304	4.67831	4.73938	8255.13087630272
58	1342.41	633.43	2115.11	226.645	1489.42	790.132	2153.4	23.3604	808.667	804.4	294999	90.3071	34.7365	170.861	-58.9627	90.3067	34.7354	170.047	-54.4157	0.0116697	0.000108374	0.0118566	0.011336	-0.0189462	7.99572	3.11569	49.6042	-12.2114	-90.5716	4.8943	4.99355	8392.300188541412
59	1548.09	823.169	2197.37	63.123	1126.74	733.542	2342.91	119.095	839.333	813.6	299999	91.8649	36.4373	175.721	-83.489	91.8646	36.4379	172.416	-80.3635	0.0119105	0.000224678	0.0123491	0.0114525	0.0111857	8.00249	3.16869	46.909	-11.6642	-92.1455	5.09907	5.19102	8534.457449674606
60	1452.35	557.299	2478.67	960.903	2032.7	558.683	2550.79	1257.98	1000.0	1000.0	304999	93.6201	38.1539	180.893	-71.8964	93.6197	38.154	175.854	-88.6406	0.01198	0.000140906	0.0123411	0.0116841	0.014289	8.0032	3.22005	48.5644	-10.4733	-93.9034	5.26981	5.34828	8676.348516702652
61	1614.94	812.724	2407.31	287.517	1755.93	739.502	2738.32	811.688	745.167	777.0	309999	95.2477	39.8634	181.458	-73.2889	95.2476	39.8628	180.153	-85.2854	0.0121636	0.000183355	0.0125226	0.0117715	0.013095	8.00295	3.25067	46.706	-12.1977	-95.5395	5.53651	5.60432	8803.091183185577
62	1045.43	623.234	2583.61	282.59	2248.59	275.543	2506.77	1754.66	627.444	969.2	314999	97.1156	41.5155	185.237	-105.003	97.1153	41.5153	182.02	-115.56	0.0124787	0.000180052	0.0128865	0.0119744	0.0114692	8.00258	3.22523	48.6487	-10.6912	-97.4039	5.83076	5.9331	8962.139751195908
63	1867.26	398.123	2369.91	1348.95	1673.47	728.572	2469.51	503.906	962.0	843.4	319999	98.8588	43.1296	187.971	-74.1892	98.8586	43.1292	184.688	-63.7029	0.0127222	0.000207971	0.013208	0.0123483	0.0192539	8.00438	3.21285	47.4889	-10.3971	-99.153	5.99761	6.11843	9098.404381990433
