Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
47	6954.12	93.368	7118.55	6858.63	7443.4	69.3929	7560.25	7367.67	1000.0	1000.0	239999	462.931	127.022	581.103	-90.9391	462.932	127.024	580.637	-88.5938	462.86	126.265	579.107	-96.2348	4.28783	3.65383	43.2539	-16.4352	-463.865	7.87954	7.47939	7.33228	9242.409204006195
48	7005.41	120.133	7127.73	6790.73	7362.57	52.3348	7445.38	7303.26	1000.0	1000.0	244999	467.285	126.576	585.006	-91.9507	467.285	126.578	585.182	-86.217	467.2	125.831	587.336	-93.6284	4.31563	3.65464	37.9434	-13.5854	-468.197	7.88233	7.52732	7.33152	9436.051184177399
49	7090.1	125.656	7308.88	6918.76	7380.21	65.0822	7467.25	7304.01	1000.0	1000.0	249999	471.33	126.424	586.997	-94.8241	471.33	126.425	587.487	-89.0588	471.241	125.662	585.057	-95.3564	4.32886	3.64547	37.8948	-17.0816	-472.233	7.87038	7.4782	7.24615	9627.329802751541
50	7186.98	91.6124	7285.47	7023.65	7602.5	69.2143	7696.05	7509.96	1000.0	1000.0	254999	475.667	125.962	590.494	-93.449	475.667	125.963	591.485	-88.3177	475.57	125.196	589.579	-94.2987	4.36551	3.64533	39.1697	-15.4167	-476.554	7.7249	7.39628	7.14024	9820.128721952438
51	7222.55	81.2771	7292.19	7091.9	7836.49	109.988	7988.38	7714.94	1000.0	1000.0	259999	479.534	126.273	599.115	-95.9783	479.535	126.274	597.857	-92.8482	479.431	125.508	597.549	-100.827	4.37	3.63706	47.3772	-13.9588	-480.409	7.72355	7.34012	7.14805	10012.174455165863
52	7150.13	218.704	7497.19	6907.78	7648.22	71.7226	7744.61	7529.98	1000.0	1000.0	264999	483.811	125.915	603.22	-93.3575	483.811	125.916	601.666	-87.6458	483.701	125.143	600.045	-93.5981	4.41611	3.63196	46.8355	-13.5808	-484.672	7.77581	7.39675	7.19882	10203.87541437149
53	7101.89	130.71	7315.68	6932.82	7740.79	98.089	7864.34	7619.22	1000.0	1000.0	269999	487.812	125.901	606.705	-94.3055	487.812	125.902	605.771	-91.1903	487.702	125.13	604.381	-95.9046	4.43854	3.61595	48.061	-13.4873	-488.677	7.83797	7.50194	7.19145	10395.918745994568
54	7181.81	156.168	7368.52	6930.21	7894.57	152.863	8144.01	7684.05	1000.0	1000.0	274999	491.861	125.672	610.209	-85.127	491.861	125.673	610.71	-85.1841	491.737	124.899	611.25	-89.8296	4.48347	3.63981	42.5418	-16.947	-492.706	7.83776	7.47352	7.20314	10587.933511257172
55	7386.24	109.021	7530.98	7224.43	7637.01	73.7547	7766.68	7540.04	1000.0	1000.0	279999	495.696	125.701	618.007	-92.6502	495.696	125.702	616.655	-84.49	495.57	124.927	614.086	-90.7473	4.5162	3.64261	42.0227	-15.9935	-496.55	7.99585	7.69296	7.37003	10781.054472923279
56	7362.93	163.315	7626.89	7192.56	7705.23	77.4845	7856.37	7651.14	1000.0	1000.0	284999	499.644	125.668	618.838	-86.9116	499.644	125.669	619.626	-86.4375	499.525	124.884	618.709	-88.1809	4.54465	3.62543	49.3768	-14.2688	-500.5	7.81088	7.52455	7.19709	10974.179203033447
