Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
37	5822.64	1606.92	6831.28	2627.71	6958.89	81.6626	7057.23	6813.05	1000.0	1000.0	189999	366.329	121.145	479.187	-60.7732	366.329	121.145	479.332	-77.0786	0.189892	0.000789349	0.191563	0.187952	-0.0012692	5.99917	4.53552	44.1944	-15.7355	-365.687	11.7425	11.8543	4718.218012094498
38	6714.7	155.023	6918.13	6519.51	7181.47	126.857	7402.77	7049.13	1000.0	1000.0	194999	371.132	121.972	485.816	-47.4598	371.132	121.973	488.116	-52.218	0.190493	0.00169181	0.19466	0.187081	1.27277e-05	5.99995	4.51068	43.8542	-13.2791	-370.472	11.5259	11.6555	4841.704491853714
39	6713.35	68.837	6796.66	6594.96	7313.4	49.2859	7382.07	7232.58	1000.0	1000.0	199999	376.394	121.779	490.777	-39.4596	376.394	121.78	492.964	-49.9508	0.19527	0.00182452	0.198668	0.189536	0.0127391	6.0077	4.49233	44.7646	-12.4261	-375.72	12.524	12.7121	4965.134264945984
40	6780.82	114.87	6962.04	6661.78	7467.52	58.6716	7570.45	7393.59	1000.0	1000.0	204999	381.303	121.81	498.897	-36.8509	381.303	121.811	497.548	-28.2998	0.19806	0.00175978	0.201249	0.193964	0.000897421	6.0005	4.46537	39.6321	-12.1806	-380.609	12.4323	12.5979	5088.689379930496
41	6796.1	51.6379	6875.4	6719.19	7431.89	77.3809	7536.24	7330.23	1000.0	1000.0	209999	386.641	121.537	502.507	-34.2761	386.641	121.538	502.627	-26.5771	0.199357	0.00132085	0.20237	0.19629	-0.000589513	5.99958	4.42244	45.1174	-12.4129	-385.948	12.321	12.4762	5212.106580734253
42	6816.75	141.622	7038.18	6592.84	6499.48	74.9863	6603.77	6410.33	1000.0	1000.0	214999	391.99	121.576	510.359	-19.7598	391.99	121.576	513.363	-10.8984	0.200574	0.00121142	0.203386	0.196908	0.00785327	6.00482	4.39072	35.6787	-13.8073	-391.297	12.2472	12.4221	5335.595761060715
43	6820.99	417.089	7181.41	6017.58	7220.78	47.996	7309.46	7165.74	1000.0	1000.0	219999	397.628	121.365	514.599	-23.5737	397.628	121.366	513.58	-7.11662	0.202007	0.00274199	0.207058	0.196969	0.00656375	6.00407	4.35429	35.1342	-13.0365	-396.954	11.9825	12.1367	5458.827130079269
44	6976.6	140.67	7176.15	6778.68	7568.13	102.922	7642.73	7367.42	1000.0	1000.0	224999	403.219	121.572	517.474	-3.23589	403.218	121.572	518.165	-9.20465	0.205589	0.00248081	0.211756	0.201059	-0.00203042	5.99866	4.33413	34.9707	-13.0781	-402.539	12.1454	12.3419	5582.083312749863
45	6982.01	116.207	7132.88	6811.23	7506.28	73.2216	7642.73	7436.33	1000.0	1000.0	229999	408.816	121.826	523.608	-7.05688	408.816	121.826	524.335	-4.96931	0.207128	0.00207299	0.211785	0.203804	-0.000664005	5.99953	4.33588	35.5522	-15.5219	-408.135	12.3902	12.5487	5705.40002989769
46	7087.16	64.0657	7184.55	7013.24	7388.46	84.8289	7511.85	7260.7	1000.0	1000.0	234999	414.419	121.817	529.828	-13.6241	414.419	121.817	530.036	-12.1697	0.20884	0.0017957	0.212831	0.20424	0.00906854	6.0057	4.30666	36.8691	-18.2939	-413.737	12.0574	12.1895	5828.778982162476
